,0,1,2,accuracy,macro avg,weighted avg
precision,0.75,1.0,0.6,0.7058823529411765,0.7833333333333333,0.7691176470588235
recall,0.7058823529411765,0.375,1.0,0.7058823529411765,0.6936274509803922,0.7058823529411765
f1-score,0.7272727272727273,0.5454545454545454,0.75,0.7058823529411765,0.6742424242424242,0.6905080213903743
support,17.0,8.0,9.0,0.7058823529411765,34.0,34.0
